Dzongkhag,Gewog,Hospital1_per(KM),Hospital2_per(KM),Hospital3_per(KM),Female,Male,Total,,,,,,,,,,,,,,,,,,
TASHI YANGTSE,TRASHI_YANGTSE_TOWN,1.6,0,0,1526,1661,3187,,,,,,,,,,,,,,,,,,
TASHI YANGTSE,DUKSUM,11.2,0,0,134,226,360,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,Samdrup Jongkhar Thromde,0.8,15.8,0,4309,5016,9325,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,Samdrup Choling Town,64.5,50.6,0,811,902,1713,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,DEWATHANG,17.8,1.6,0,1315,1599,2914,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,GOMDAR,35,16.3,0,1628,1578,3206,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,ORONG,57.2,43,0,1387,1428,2815,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,PHUENTSHOTHANG,62.3,50,0,1471,1557,3028,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,WANGPHU,20.7,17.8,0,905,898,1803,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,LAURI,54,53.1,0,884,830,1714,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,MARTSHALA,74.6,60.7,0,1208,1382,2590,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,PEMATHANG,70.2,57.4,0,750,718,1468,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,SAMRANG,0.8,15.8,0,101,209,310,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,SERTHIG,53.9,55.5,0,991,1099,2090,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,LANGCHENPU,110,127,0,454,514,968,,,,,,,,,,,,,,,,,,
SAMDRUP JONGKHAR,JOMOTSANGKHA TOWN,60.2,63.5,0,536,600,1136,,,,,,,,,,,,,,,,,,
TRONGSA,Nubi,20.4,0,0,1096,2075,3171,,,,,,,,,,,,,,,,,,
TRONGSA,tangsibji ,22.3,0,0,939,1605,2544,,,,,,,,,,,,,,,,,,
TRONGSA,drakteng ,24.7,0,0,2637,3563,6200,,,,,,,,,,,,,,,,,,
TRONGSA,langthil,22.3,0,0,1418,2332,3750,,,,,,,,,,,,,,,,,,
TRONGSA,korphu,11.5,0,0,345,404,749,,,,,,,,,,,,,,,,,,
TRONGSA,TRONGSA TOWN,1.5,0,0,1455,1667,3122,,,,,,,,,,,,,,,,,,
TRONGSA,KUENGARABTEN,23.5,0,0,192,232,424,,,,,,,,,,,,,,,,,,
Sarpang,Samteling,10,25.1,0,1456,1345,2801,,,,,,,,,,,,,,,,,,
Sarpang,Chhuzanggang,3.5,0,0,1262,1237,2499,,,,,,,,,,,,,,,,,,
Sarpang,Gelephu ,7.9,35.4,0,3314,3143,6457,,,,,,,,,,,,,,,,,,
Sarpang,Jigme Chhoeling,30.7,62.3,0,1743,1515,3258,,,,,,,,,,,,,,,,,,
Sarpang,Serzhong,5.1,27.4,0,1285,1422,2707,,,,,,,,,,,,,,,,,,
Sarpang,Tareythang,0.5,32.7,0,225,126,351,,,,,,,,,,,,,,,,,,
Sarpang,Umling,6.4,27.6,0,754,832,1586,,,,,,,,,,,,,,,,,,
Sarpang,Dekiling,24,11.7,0,3290,2690,5980,,,,,,,,,,,,,,,,,,
Sarpang,Chhudzom,32.1,0.5,0,1460,1204,2664,,,,,,,,,,,,,,,,,,
Sarpang,Gakiling,34.5,3,0,1105,1020,2125,,,,,,,,,,,,,,,,,,
Sarpang,Senggey,42.6,11.1,0,569,511,1080,,,,,,,,,,,,,,,,,,
Sarpang,Shompangkha,32.1,0.5,0,757,729,1486,,,,,,,,,,,,,,,,,,
Sarpang,SARPANG_TOWN,32.1,0.5,0,1652,1500,3152,,,,,,,,,,,,,,,,,,
Samtse,Duenchhukha,6.3,55.6,0,1176,983,2159,,,,,,,,,,,,,,,,,,
Samtse,Dophuchen,48,95.9,0,2708,2711,5419,,,,,,,,,,,,,,,,,,
Samtse,Doomtoen,48,95.9,0,756,677,1433,,,,,,,,,,,,,,,,,,
Samtse,Tading,49.6,97.4,0,2425,2294,4719,,,,,,,,,,,,,,,,,,
Samtse,Norboogang,9.5,56.3,0,2103,1972,4075,,,,,,,,,,,,,,,,,,
Samtse,Phuntshogpelri,54.2,24.5,0,2096,1978,4074,,,,,,,,,,,,,,,,,,
Samtse,Samtse,0.9,53.4,0,1819,1787,3606,,,,,,,,,,,,,,,,,,
Samtse,Norgaygang,23.5,45.9,0,1940,1803,3743,,,,,,,,,,,,,,,,,,
Samtse,Pemaling,55.6,94.6,0,1692,1570,3262,,,,,,,,,,,,,,,,,,
Samtse,Tashichhoeling,47,78.7,0,2018,1942,3960,,,,,,,,,,,,,,,,,,
Samtse,Tendruk,70.7,102,0,3216,3026,6242,,,,,,,,,,,,,,,,,,
Samtse,Sangngag chhoeling,35.9,70.5,0,1579,1482,3061,,,,,,,,,,,,,,,,,,
Samtse,Namgayalchhoeling,42.3,74,0,1672,1469,3141,,,,,,,,,,,,,,,,,,
Samtse,Ugyentse,16.1,59.9,0,699,691,1390,,,,,,,,,,,,,,,,,,
Samtse,Yoeseltse,25.9,69.8,0,1320,1312,2632,,,,,,,,,,,,,,,,,,
Samtse,Samtse Town,0.9,49.3,0,2656,2740,5396,,,,,,,,,,,,,,,,,,
Samtse,Gomtu Town,49.3,6.3,0,1847,1814,3661,,,,,,,,,,,,,,,,,,
Samtse,Sipsu Town,3.4,70.8,0,300,317,617,,,,,,,,,,,,,,,,,,
Wangdue,ATHANG,34.5,0,0,364,409,773,,,,,,,,,,,,,,,,,,
Wangdue,BJENAG,10.2,0,0,781,1135,1916,,,,,,,,,,,,,,,,,,
Wangdue,DARKAR,33.7,0,0,1047,5010,6057,,,,,,,,,,,,,,,,,,
Wangdue,GASE TSHOGOM,16.7,0,0,1889,2071,3960,,,,,,,,,,,,,,,,,,
Wangdue,GASE TSHOWOM,21.4,0,0,336,623,959,,,,,,,,,,,,,,,,,,
Wangdue,NAHI,14.4,0,0,305,291,596,,,,,,,,,,,,,,,,,,
Wangdue,THEDTSHO,3.6,0,0,1513,1861,3374,,,,,,,,,,,,,,,,,,
Wangdue,RUEBISA,5.7,0,0,903,1276,2179,,,,,,,,,,,,,,,,,,
Wangdue,DANGCHHU,61,0,0,556,546,1102,,,,,,,,,,,,,,,,,,
Wangdue,GANGTENG,60.7,0,0,1206,1569,2775,,,,,,,,,,,,,,,,,,
Wangdue,KAZHI,20.3,0,0,594,695,1289,,,,,,,,,,,,,,,,,,
Wangdue,NYISHOG,15.1,0,0,1346,1166,2512,,,,,,,,,,,,,,,,,,
Wangdue,PHANGYUEL,14.5,0,0,445,519,964,,,,,,,,,,,,,,,,,,
Wangdue,PHOBJI,68.7,0,0,1082,1039,2121,,,,,,,,,,,,,,,,,,
Wangdue,SAEPHU,73.8,0,0,854,875,1729,,,,,,,,,,,,,,,,,,
Wangdue,WANGDUE PHODRANG TOWN,3.9,0,0,4226,4728,8954,,,,,,,,,,,,,,,,,,
Wangdue,RURICHHU TOWN,,,,110,103,213,,,,,,,,,,,,,,,,,,
Wangdue,NOBDING TOWN,42.9,0,0,327,386,713,,,,,,,,,,,,,,,,,,
Thimphu,Kawang,28.9,12.7,0,2292,3185,5477,,,,,,,,,,,,,,,,,,
Thimphu,LINGZHI,35.2,48.6,0,214,276,490,,,,,,,,,,,,,,,,,,
Thimphu,NARO,32,25.9,0,87,163,250,,,,,,,,,,,,,,,,,,
Thimphu,SOE,46.4,45.4,0,81,101,182,,,,,,,,,,,,,,,,,,
Thimphu,CHANG,15.7,7.1,0,2951,3801,6752,,,,,,,,,,,,,,,,,,
Thimphu,DARKARLA,20.7,11,0,707,1387,2094,,,,,,,,,,,,,,,,,,
Thimphu,GENYEN,15.3,25.6,0,544,597,1141,,,,,,,,,,,,,,,,,,
Thimphu,MAEDWANG,4.3,14.6,0,3274,3559,6833,,,,,,,,,,,,,,,,,,
Thimphu,KHASADRUPCHU,4.7,15,0,509,457,966,,,,,,,,,,,,,,,,,,
Trashigang,shongphu,23.4,102,0,962,963,1925,,,,,,,,,,,,,,,,,,
Trashigang,Bidung,34.6,113.6,0,727,694,1421,,,,,,,,,,,,,,,,,,
Trashigang,Kanglung,22,63.6,0,1927,2166,4093,,,,,,,,,,,,,,,,,,
Trashigang,Khaling,55,27,0,1186,1270,2456,,,,,,,,,,,,,,,,,,
Trashigang,Kangpara,107,48.9,0,819,772,1591,,,,,,,,,,,,,,,,,,
Trashigang,Samkhar,16.7,92.9,0,992,1117,2109,,,,,,,,,,,,,,,,,,
Trashigang,Yangneer,44.8,115,0,1251,1284,2535,,,,,,,,,,,,,,,,,,
Trashigang,Bartsham,25,105.1,0,837,951,1788,,,,,,,,,,,,,,,,,,
Trashigang,Thrimshing,82.6,24.1,0,1304,1244,2548,,,,,,,,,,,,,,,,,,
Trashigang,Udzorong,50.8,72.6,0,1411,1349,2760,,,,,,,,,,,,,,,,,,
Trashigang,Saktang,39.1,44.2,0,963,1098,2061,,,,,,,,,,,,,,,,,,
Trashigang,Ridi,22.9,108,0,1177,1169,2346,,,,,,,,,,,,,,,,,,
Trashigang,Phongmey,16.3,108,0,1312,1305,2617,,,,,,,,,,,,,,,,,,
Trashigang,Merak,28.8,34,0,704,858,1562,,,,,,,,,,,,,,,,,,
Trashigang,Lumang,84.3,7.3,0,1803,1795,3598,,,,,,,,,,,,,,,,,,
Trashigang,Trashigang Town,0.5,79,0,1472,1565,3037,,,,,,,,,,,,,,,,,,
Trashigang,Rangjung Town,16,95.9,0,915,1109,2024,,,,,,,,,,,,,,,,,,
Trashigang,Kanglung Town,16.4,60.7,0,1445,1778,3223,,,,,,,,,,,,,,,,,,
Trashigang,Khaling Town,47,30.1,0,542,587,1129,,,,,,,,,,,,,,,,,,
Trashigang,Resarbu Town,79,0.2,0,95,116,211,,,,,,,,,,,,,,,,,,
Trashigang,Wamrong Town,74.8,2.5,0,260,224,484,,,,,,,,,,,,,,,,,,
Zhemgang,Bardo,23.9,0,0,803,931,1734,,,,,,,,,,,,,,,,,,
Zhemgang,Nangkor,49.6,0,0,1273,1329,2602,,,,,,,,,,,,,,,,,,
Zhemgang,Shingkhar,5.3,0,0,600,676,1276,,,,,,,,,,,,,,,,,,
Zhemgang,Trong,5.4,0,0,1422,1546,2968,,,,,,,,,,,,,,,,,,
Zhemgang,Bjoka,91.1,0,0,422,434,856,,,,,,,,,,,,,,,,,,
Zhemgang,Goshing,57.4,0,0,697,699,1396,,,,,,,,,,,,,,,,,,
Zhemgang,Ngangla,83.2,0,0,1129,1127,2256,,,,,,,,,,,,,,,,,,
Zhemgang,Phangkhar,43.7,0,,568,596,1164,,,,,,,,,,,,,,,,,,
Zhemgang,Zhemgang Town,5.3,0,0,1024,1153,2177,,,,,,,,,,,,,,,,,,
Zhemgang,Panbang,69.1,0,0,385,415,800,,,,,,,,,,,,,,,,,,
Zhemgang,Tintibi,5.5,0,0,245,289,534,,,,,,,,,,,,,,,,,,
Paro,Dogar ,26.7,0,0,1211,1116,2327,,,,,,,,,,,,,,,,,,
Paro,Loongnyi ,6.2,0,0,2274,2453,4727,,,,,,,,,,,,,,,,,,
Paro,Nagya ,3.2,0,0,1623,1664,3287,,,,,,,,,,,,,,,,,,
Paro,Sharpa ,3.2,0,0,2683,3268,5951,,,,,,,,,,,,,,,,,,
Paro,Dopsharri ,5.6,0,0,1710,1623,3333,,,,,,,,,,,,,,,,,,
Paro,Doteng ,8.4,0,0,652,651,1303,,,,,,,,,,,,,,,,,,
Paro,Hoongrel ,3.5,0,0,70,266,336,,,,,,,,,,,,,,,,,,
Paro,Lamgong ,8.1,0,0,2874,2972,5846,,,,,,,,,,,,,,,,,,
Paro,Tsento ,13.8,0,0,2824,3122,5946,,,,,,,,,,,,,,,,,,
Paro,Wangchang ,3.2,0,0,599,758,1357,,,,,,,,,,,,,,,,,,
Paro,Paro Town ,1.9,0,0,5620,5828,11448,,,,,,,,,,,,,,,,,,
Paro,Beteykha Town,70,0,0,235,230,465,,,,,,,,,,,,,,,,,,
Mongar,BALAM ,48.9,0,0,494,418,912,,,,,,,,,,,,,,,,,,
Mongar,CHAGSAKHAR ,27.1,0,0,1288,1206,2494,,,,,,,,,,,,,,,,,,
Mongar,DRAMEDTSE ,67.5,32.9,0,1033,815,1848,,,,,,,,,,,,,,,,,,
