Country,Dzongkhag,Gewog/Town,Gewog_Latitude,Gewog_Longitude,Total_Female,Total_Male,Total_Population
Bhutan,Paro,Tsento,27.48361949,89.32693119,2824,3122,5946
Bhutan,Paro,Wangchang,27.41839591,89.42137849,599,758,1357
Bhutan,Punakha,Punakha Town,27.58268741,89.86300559,2822,3440,6262
Bhutan,Punakha,Lobaysa Town,27.51488747,89.86661985,378,406,784
Bhutan,Punakha,Barp,27.51646451,89.86512043,2411,2531,4942
Bhutan,Punakha,Guma,27.57092038,89.86711264,1298,1454,2752
Bhutan,Punakha,Goenshari,27.70892744,89.76528666,281,413,694
Bhutan,Punakha,Kabisa,27.59222,89.87973517,1246,1296,2542
Bhutan,Punakha,Talog,27.55764958,89.83886957,577,628,1205
Bhutan,Punakha,Toedpisa,27.52680738,89.80684541,1145,1282,2427
Bhutan,Punakha,Chhubu,27.63513157,89.86022616,735,916,1651
Bhutan,Punakha,Dzomi,27.58961596,89.87333788,1111,1036,2147
Bhutan,Punakha,Lingmukha,27.55674201,89.90033504,483,535,1018
Bhutan,Punakha,Shelnga-Bjemi,27.60339231,89.92365331,481,522,1003
Bhutan,Punakha,Toedwang,27.64975498,89.87146564,693,620,1313
Bhutan,Samtse,Samtse Town,26.89958116,89.09138595,"2,656","2,740","5,396"
Bhutan,Samtse,Sipsu Town,27.04895941,88.88634247,300,317,617
Bhutan,Samtse,Gomtu Town,26.83320044,89.17006928,"1,847","1,814","3,661"
Bhutan,Samtse,Duenchhukha,26.92836397,89.08877948,"1,176",983,"2,159"
Bhutan,Samtse,Dophuchen,26.99838327,89.21199139,"2,708","2,711","5,419"
Bhutan,Samtse,Dumtoe,27.04604978,89.17808245,756,677,1433
Bhutan,Samtse,Tading,26.88079775,89.32244394,"2,425","2,294","4,719"
Bhutan,Samtse,Norbugang,26.93311313,89.03454879,"2,103","1,972","4,075"
Bhutan,Samtse,Phuentshopelri,26.81766359,89.19001767,"2,096","1,978","4,074"
Bhutan,Samtse,Samtse,27.04832991,89.06341513,"1,819","1,787","3,606"
Bhutan,Samtse,Norgaygang,27.13318845,88.84479673,"1,940","1,803","3,743"
Bhutan,Samtse,Pemaling,27.04804175,88.89759735,"1,692","1,570","3,262"
Bhutan,Samtse,Tashichhoeling,27.03563672,88.88280929,"2,018","1,942","3,960"
Bhutan,Samtse,Sang-Ngag-Chhoeling,26.98688956,88.94775198,"1,579","1,482","3,061"
Bhutan,Samtse,Tendruk,27.12730505,88.87527485,"3,216","3,026","6,242"
Bhutan,Samtse,Namgyalchhoeling,27.01860712,88.92627852,"1,672","1,469","3,141"
Bhutan,Samtse,Ugyentse,26.94941721,89.00761737,699,691,1390
Bhutan,Samtse,Yoeseltse,26.94639976,88.96873149,"1,320","1,312","2,632"
Bhutan,Sarpang,Gelephu Thromde,26.87619991,90.48705619,"5,146","4,712","9,858"
Bhutan,Sarpang,Sarpang Town,26.86428575,90.268806,"1,652","1,500","3,152"
Bhutan,Sarpang,Samteling,26.91916624,90.43046083,"1,456","1,345","2,801"
Bhutan,Sarpang,Chhuzanggang,27.05722445,90.33925207,"1,262","1,237","2,499"
Bhutan,Sarpang,Gelephu,26.90021918,90.49417741,"3,314","3,143","6,457"
